code_canton;annee;code_departement;impot_moyen;population;agriculteurs_exploitants;artisans_comm_chefs_entr;cadres_prof_intel_sup;professions_intermediaires;employes;ouvriers;retraites;autres_sans_activite_prof;population_15_29;population_30_44;population_45_59;population_60_74;population_75_plus;population_hommes;inscrits;abstentions;blancs_nuls;vote_extreme_gauche;vote_gauche;vote_centre;vote_droite;vote_extreme_droite;pct_population_hommes;pct_agriculteurs_exploitants;pct_artisans_comm_chefs_entr;pct_cadres_prof_intel_sup;pct_professions_intermediaires;pct_employes;pct_ouvriers;pct_retraites;pct_autres_sans_activite_prof;pct_population_15_29;pct_population_30_44;pct_population_45_59;pct_population_60_74;pct_population_75_plus;pct_abstentions;pct_blancs_nuls;exprimes;pct_vote_extreme_gauche;pct_vote_gauche;pct_vote_centre;pct_vote_droite;pct_vote_extreme_droite;parti_gagnant;niveau_richesse
0401;2007;04;1132.35;7949;171;463;258;876;1335;795;1633;1031;1153;1736;1752;1132;767;4024;6303;1013;67;325;1313;937;2019;629;50.62;2.61;7.06;3.93;13.35;20.34;12.12;24.89;15.71;17.63;26.54;26.79;17.31;11.73;16.07;1.27;5223;6.22;25.14;17.94;38.66;12.04;droite;1
0401;2012;04;1600.48;7943;108;541;290;919;1310;699;2066;698;1123;1349;1822;1412;847;3982;6220;1145;118;112;1776;486;1728;855;50.13;1.63;8.16;4.37;13.86;19.76;10.54;31.16;10.53;17.14;20.59;27.80;21.55;12.93;18.41;2.33;4957;2.26;35.83;9.80;34.86;17.25;gauche;1
0401;2017;04;2748.45;7864;129;591;277;1035;1076;585;2247;689;1027;1356;1741;1651;884;3965;6500;1343;139;117;1035;1109;1370;1387;50.42;1.95;8.92;4.18;15.61;16.23;8.82;33.90;10.39;15.42;20.36;26.15;24.79;13.28;20.66;2.70;5018;2.33;20.63;22.10;27.30;27.64;extreme_droite;1
0401;2022;04;3226.45;7735;115;582;281;1024;1073;555;2321;595;947;1298;1722;1723;907;3884;6660;1646;122;53;1474;1360;355;1650;50.21;1.76;8.89;4.29;15.64;16.39;8.48;35.46;9.09;14.36;19.68;26.10;26.12;13.75;24.71;2.43;4892;1.08;30.13;27.80;7.26;33.73;extreme_droite;2
0402;2007;04;966.04;9078;210;713;293;758;1196;897;2497;1070;1115;1729;2032;1783;1034;4543;8294;1177;106;440;2073;1066;2387;1045;50.04;2.75;9.34;3.84;9.93;15.67;11.75;32.71;14.02;14.49;22.47;26.41;23.18;13.44;14.19;1.49;7011;6.28;29.57;15.20;34.05;14.91;droite;1
0402;2012;04;1408.04;9323;227;553;272;846;1297;925;2918;930;1060;1393;2089;2076;1144;4673;8384;1265;127;161;2643;506;2130;1552;50.12;2.85;6.94;3.41;10.62;16.28;11.61;36.62;11.67;13.66;17.95;26.91;26.75;14.74;15.09;1.78;6992;2.30;37.80;7.24;30.46;22.20;gauche;1
0402;2017;04;2151.16;9666;192;528;323;890;1332;865;3121;1087;1067;1408;2139;2530;1236;4862;8370;1477;188;153;1285;1528;1858;1881;50.30;2.30;6.33;3.87;10.67;15.98;10.37;37.43;13.04;12.73;16.80;25.53;30.19;14.75;17.65;2.73;6705;2.28;19.16;22.79;27.71;28.05;extreme_droite;1
0402;2022;04;2040.01;9618;178;640;426;859;1288;797;3138;971;1019;1411;2107;2537;1316;4820;8508;1849;138;106;1643;1896;466;2410;50.11;2.15;7.71;5.13;10.35;15.52;9.61;37.82;11.70;12.15;16.82;25.11;30.24;15.69;21.73;2.07;6521;1.63;25.20;29.08;7.15;36.96;extreme_droite;1
0403;2007;04;1392.34;12067;40;407;418;1243;1400;1561;3154;1712;1707;2411;2455;2213;1144;5877;8958;1144;135;536;2566;1278;2241;1058;48.70;0.40;4.10;4.21;12.51;14.09;15.71;31.75;17.23;17.19;24.28;24.72;22.29;11.52;12.77;1.73;7679;6.98;33.42;16.64;29.18;13.78;gauche;1
0403;2012;04;1585.24;12480;42;457;549;1416;1651;1374;3296;1626;1855;2002;2683;2214;1384;6067;9319;1420;175;141;3569;549;1832;1633;48.61;0.40;4.39;5.27;13.60;15.86;13.20;31.66;15.62;18.30;19.75;26.46;21.84;13.65;15.24;2.22;7724;1.83;46.21;7.11;23.72;21.14;gauche;1
0403;2017;04;2683.95;12560;55;476;435;1528;1704;1306;3667;1420;1747;2002;2769;2437;1568;6200;9603;1800;197;163;1385;1836;2187;2035;49.36;0.52;4.49;4.11;14.43;16.09;12.33;34.62;13.41;16.60;19.02;26.31;23.16;14.90;18.74;2.52;7606;2.14;18.21;24.14;28.75;26.76;droite;1
0403;2022;04;2397.76;12416;65;519;497;1573;1573;1288;3492;1493;1651;1952;2731;2571;1552;6092;9601;2165;186;103;2382;1704;408;2653;49.07;0.62;4.94;4.73;14.98;14.98;12.27;33.26;14.22;15.79;18.67;26.12;24.59;14.84;22.55;2.50;7250;1.42;32.86;23.50;5.63;36.59;extreme_droite;1
0404;2007;04;823.05;1622;43;74;59;188;220;114;384;253;243;314;383;239;150;769;1264;161;20;81;389;160;308;145;47.41;3.22;5.54;4.42;14.08;16.48;8.54;28.76;18.95;18.28;23.63;28.82;17.98;11.29;12.74;1.81;1083;7.48;35.92;14.77;28.44;13.39;gauche;1
0404;2012;04;1558.57;1676;51;96;75;156;237;148;448;158;205;240;417;300;169;827;1285;169;20;28;509;75;236;248;49.34;3.73;7.01;5.48;11.40;17.31;10.81;32.72;11.54;15.40;18.03;31.33;22.54;12.70;13.15;1.79;1096;2.55;46.44;6.84;21.53;22.63;gauche;1
0404;2017;04;2554.70;1590;54;113;84;192;217;79;550;124;188;240;386;362;197;784;1327;206;34;25;205;220;306;331;49.31;3.82;8.00;5.94;13.59;15.36;5.59;38.92;8.78;13.69;17.48;28.11;26.37;14.35;15.52;3.03;1087;2.30;18.86;20.24;28.15;30.45;extreme_droite;1
0404;2022;04;2133.10;1573;53;114;81;187;218;78;566;120;180;232;384;372;203;774;1364;249;21;15;445;227;61;346;49.21;3.74;8.05;5.72;13.20;15.38;5.50;39.94;8.47;13.13;16.92;28.01;27.13;14.81;18.26;1.88;1094;1.37;40.68;20.75;5.58;31.63;gauche;1
0405;2007;04;1838.95;5550;27;164;279;747;867;585;1129;638;821;1136;1262;760;466;2682;3659;420;51;216;1083;523;892;474;48.32;0.61;3.70;6.29;16.84;19.54;13.19;25.45;14.38;18.47;25.56;28.39;17.10;10.48;11.48;1.57;3188;6.78;33.97;16.41;27.98;14.87;gauche;2
0405;2012;04;1746.60;5743;55;229;272;675;786;548;1461;609;776;1058;1255;953;539;2747;3932;577;81;73;1456;276;740;729;47.83;1.19;4.94;5.87;14.56;16.96;11.82;31.52;13.14;16.94;23.10;27.40;20.80;11.77;14.67;2.41;3274;2.23;44.47;8.43;22.60;22.27;gauche;1
0405;2017;04;2730.07;5958;50;205;340;794;865;548;1370;767;822;1058;1300;1078;661;2921;4055;635;90;70;627;771;949;913;49.03;1.01;4.15;6.88;16.08;17.51;11.10;27.74;15.53;16.71;21.51;26.43;21.92;13.44;15.66;2.63;3330;2.10;18.83;23.15;28.50;27.42;droite;1
0405;2022;04;2449.78;5912;24;240;372;760;888;562;1496;711;802;999;1277;1156;736;2879;4230;836;81;39;979;792;212;1291;48.70;0.47;4.75;7.36;15.04;17.57;11.12;29.61;14.07;16.14;20.10;25.69;23.26;14.81;19.76;2.39;3313;1.18;29.55;23.91;6.40;38.97;extreme_droite;1
0406;2007;04;1640.87;10159;168;423;517;879;1145;941;2966;1485;1371;1779;2188;1871;1281;4871;7866;884;197;411;2361;1020;2105;888;47.95;1.97;4.96;6.07;10.31;13.43;11.04;34.80;17.42;16.15;20.95;25.77;22.04;15.09;11.24;2.82;6785;6.06;34.80;15.03;31.02;13.09;gauche;2
0406;2012;04;1788.28;10566;237;507;467;1030;1137;877;3245;1325;1355;1792;2341;2150;1320;5121;8072;1226;107;105;3161;465;1773;1235;48.47;2.69;5.75;5.29;11.67;12.88;9.94;36.77;15.01;15.13;20.00;26.13;24.00;14.74;15.19;1.56;6739;1.56;46.91;6.90;26.31;18.33;gauche;2
0406;2017;04;2573.09;11281;215;469;548;998;1291;1017;3558;1472;1311;1805;2351;2603;1433;5461;8635;1438;163;138;1385;1570;1909;2032;48.41;2.25;4.90;5.73;10.43;13.49;10.63;37.19;15.38;13.80;18.99;24.74;27.39;15.08;16.65;2.26;7034;1.96;19.69;22.32;27.14;28.89;extreme_droite;1
0406;2022;04;3025.43;11427;211;513;572;1066;1355;944;3522;1451;1313;1803;2380;2676;1476;5538;9184;1894;158;94;2761;1716;451;2110;48.46;2.19;5.32;5.94;11.06;14.06;9.80;36.56;15.06;13.61;18.69;24.67;27.74;15.30;20.62;2.17;7132;1.32;38.71;24.06;6.32;29.58;gauche;2
0407;2007;04;2077.45;3776;24;150;352;505;389;207;1004;493;490;695;869;771;295;1866;3146;398;41;113;697;549;1020;328;49.42;0.77;4.80;11.27;16.17;12.45;6.63;32.14;15.78;15.71;22.28;27.85;24.71;9.46;12.65;1.49;2707;4.17;25.75;20.28;37.68;12.12;droite;3
0407;2012;04;2797.55;3903;32;260;343;568;348;253;1060;412;447;667;905;844;388;1909;3328;593;53;38;963;245;940;496;48.91;0.98;7.94;10.47;17.34;10.62;7.72;32.36;12.58;13.75;20.52;27.84;25.96;11.93;17.82;1.94;2682;1.42;35.91;9.13;35.05;18.49;gauche;4
0407;2017;04;4801.65;4026;25;128;416;559;412;270;1089;481;458;667;887;858;450;1976;3363;581;73;37;577;639;753;703;49.08;0.74;3.79;12.31;16.54;12.19;7.99;32.22;14.23;13.80;20.09;26.72;25.84;13.55;17.28;2.62;2709;1.37;21.30;23.59;27.80;25.95;droite;5
0407;2022;04;4279.25;4162;35;126;419;581;425;298;1119;494;467;679;935;894;469;2052;3430;679;68;29;689;797;234;934;49.30;1.00;3.60;11.98;16.61;12.15;8.52;32.00;14.13;13.56;19.72;27.15;25.96;13.62;19.80;2.47;2683;1.08;25.68;29.71;8.72;34.81;extreme_droite;4
0408;2007;04;1025.30;2985;12;84;133;326;423;347;755;362;432;622;610;520;252;1466;2220;267;45;134;657;294;560;263;49.11;0.49;3.44;5.45;13.35;17.32;14.21;30.92;14.82;17.73;25.53;25.04;21.35;10.34;12.03;2.30;1908;7.02;34.43;15.41;29.35;13.78;gauche;1
0408;2012;04;1258.50;3200;20;108;184;362;429;309;841;380;448;512;664;565;361;1543;2404;380;46;28;827;122;537;464;48.22;0.76;4.10;6.99;13.75;16.29;11.74;31.94;14.43;17.57;20.08;26.04;22.16;14.16;15.81;2.27;1978;1.42;41.81;6.17;27.15;23.46;gauche;1
0408;2017;04;6587.45;3285;20;125;176;382;453;317;826;420;503;512;718;601;399;1617;2529;486;49;40;411;453;563;527;49.22;0.74;4.60;6.47;14.05;16.66;11.66;30.38;15.45;18.40;18.73;26.27;21.99;14.60;19.22;2.40;1994;2.01;20.61;22.72;28.23;26.43;droite;5
0408;2022;04;5417.15;3336;10;162;189;538;394;349;815;352;502;554;695;592;431;1602;2508;490;40;26;580;502;109;761;48.02;0.36;5.77;6.73;19.15;14.03;12.42;29.01;12.53;18.10;19.97;25.05;21.34;15.54;19.54;1.98;1978;1.31;29.32;25.38;5.51;38.47;extreme_droite;5
0409;2007;04;1259.60;4186;36;130;134;547;503;444;979;601;688;842;850;581;434;2055;3137;423;57;186;954;389;737;391;49.09;1.07;3.85;3.97;16.21;14.91;13.16;29.02;17.81;20.27;24.80;25.04;17.11;12.78;13.48;2.10;2657;7.00;35.91;14.64;27.74;14.72;gauche;1
0409;2012;04;1756.95;4417;16;158;213;560;599;465;1019;540;706;839;988;624;491;2121;3268;467;57;33;1271;157;612;671;48.02;0.45;4.43;5.97;15.69;16.78;13.03;28.54;15.13;19.35;23.00;27.08;17.11;13.46;14.29;2.03;2744;1.20;46.32;5.72;22.30;24.45;gauche;1
0409;2017;04;2711.60;4592;10;220;264;608;639;458;1048;548;667;839;1024;717;519;2263;3410;633;71;46;464;694;712;790;49.28;0.26;5.80;6.96;16.02;16.84;12.07;27.62;14.44;17.71;22.28;27.19;19.04;13.78;18.56;2.56;2706;1.70;17.15;25.65;26.31;29.19;extreme_droite;1
0409;2022;04;3105.75;4716;10;225;272;627;656;470;1079;563;684;862;1052;740;534;2324;3640;786;63;47;833;627;150;1134;49.28;0.26;5.77;6.97;16.07;16.81;12.05;27.65;14.43;17.67;22.26;27.17;19.11;13.79;21.59;2.21;2791;1.68;29.85;22.47;5.37;40.63;extreme_droite;2
0410;2007;04;1413.00;11860;85;404;437;1171;1586;1498;2818;1691;1779;2380;2358;1933;1225;5726;8619;1200;118;533;2095;1208;2299;1166;48.28;0.88;4.17;4.51;12.08;16.37;15.46;29.08;17.45;18.39;24.60;24.37;19.98;12.66;13.92;1.59;7301;7.30;28.69;16.55;31.49;15.97;droite;1
0410;2012;04;1711.17;12859;66;486;603;1447;1705;1591;3209;1373;1872;2444;2571;2147;1441;6157;9383;1623;156;158;3031;536;2058;1821;47.88;0.63;4.64;5.75;13.81;16.27;15.18;30.62;13.10;17.87;23.33;24.54;20.50;13.76;17.30;2.01;7604;2.08;39.86;7.05;27.06;23.95;gauche;1
0410;2017;04;2693.43;13813;69;549;655;1614;1830;1497;3678;1445;1953;2444;2767;2537;1613;6638;10258;2152;188;157;1591;1719;2071;2380;48.06;0.61;4.84;5.78;14.24;16.14;13.20;32.44;12.75;17.26;21.60;24.46;22.42;14.26;20.98;2.32;7918;1.98;20.09;21.71;26.16;30.06;extreme_droite;1
0410;2022;04;2597.93;14041;69;567;597;1697;1802;1636;3778;1414;1997;2386;2880;2666;1669;6771;10602;2553;168;137;2129;1997;444;3174;48.22;0.60;4.90;5.16;14.68;15.59;14.15;32.68;12.23;17.22;20.57;24.83;22.99;14.39;24.08;2.09;7881;1.74;27.01;25.34;5.63;40.27;extreme_droite;1
0411;2007;04;1570.89;10182;298;544;486;956;1234;903;2866;1280;1380;1869;2335;1928;1024;5019;8147;1069;93;410;2466;1166;2054;889;49.29;3.48;6.35;5.67;11.16;14.40;10.54;33.45;14.94;16.17;21.90;27.35;22.59;12.00;13.12;1.31;6985;5.87;35.30;16.69;29.41;12.73;gauche;2
0411;2012;04;2115.97;10542;227;658;396;1085;1224;1007;3155;1153;1383;1672;2415;2262;1100;5144;8399;1323;110;137;3166;493;1817;1353;48.80;2.55;7.39;4.45;12.18;13.75;11.31;35.43;12.95;15.66;18.93;27.34;25.61;12.45;15.75;1.55;6966;1.97;45.45;7.08;26.08;19.42;gauche;2
0411;2017;04;3622.41;10734;195;662;450;1179;1380;905;3331;1079;1272;1675;2371;2575;1230;5235;8730;1458;179;142;1420;1602;1898;2031;48.77;2.12;7.21;4.90;12.84;15.03;9.86;36.28;11.75;13.94;18.36;25.99;28.23;13.48;16.70;2.46;7093;2.00;20.02;22.59;26.76;28.63;extreme_droite;3
0411;2022;04;3052.67;10825;300;687;527;1214;1274;935;3187;1136;1255;1697;2273;2701;1267;5286;8928;1717;162;106;2542;1751;515;2135;48.83;3.24;7.42;5.69;13.11;13.76;10.10;34.42;12.27;13.65;18.46;24.73;29.38;13.78;19.23;2.25;7049;1.50;36.06;24.84;7.31;30.29;gauche;2
0412;2007;04;1190.60;8723;248;496;331;818;1170;770;2217;1266;1209;1768;1904;1480;904;4329;7183;947;85;404;2106;949;1839;853;49.63;3.39;6.78;4.52;11.18;15.99;10.52;30.30;17.30;16.64;24.34;26.21;20.37;12.44;13.18;1.36;6151;6.57;34.24;15.43;29.90;13.87;gauche;1
0412;2012;04;1657.40;9118;302;574;246;777;1259;858;2639;1091;1230;1452;1967;1823;1004;4472;7440;1119;138;131;2702;369;1693;1288;49.05;3.90;7.41;3.18;10.03;16.25;11.08;34.07;14.08;16.45;19.42;26.31;24.38;13.43;15.04;2.18;6183;2.12;43.70;5.97;27.38;20.83;gauche;1
0412;2017;04;2621.47;9097;264;468;339;903;1302;807;2703;949;1100;1447;1997;2051;1141;4431;7390;1323;153;137;1095;1370;1588;1724;48.71;3.41;6.05;4.38;11.67;16.83;10.43;34.95;12.27;14.22;18.70;25.81;26.51;14.75;17.90;2.52;5914;2.32;18.52;23.17;26.85;29.15;extreme_droite;1
0412;2022;04;2402.59;8910;255;502;284;941;1186;763;2776;1069;1050;1316;1965;2178;1191;4347;7471;1674;133;95;1710;1414;381;2064;48.79;3.28;6.46;3.65;12.10;15.25;9.81;35.70;13.75;13.64;17.09;25.52;28.29;15.47;22.41;2.29;5664;1.68;30.19;24.96;6.73;36.44;extreme_droite;1
0413;2007;04;1085.11;7655;250;363;278;748;1023;740;2032;890;1027;1523;1732;1263;769;3837;6458;757;92;327;1847;891;1831;713;50.12;3.95;5.74;4.40;11.83;16.18;11.70;32.13;14.07;16.27;24.12;27.43;20.00;12.18;11.72;1.61;5609;5.83;32.93;15.89;32.64;12.71;gauche;1
0413;2012;04;1514.91;7991;305;309;348;903;1057;821;2240;745;989;1279;1825;1586;839;4022;6860;1000;127;128;2443;442;1531;1189;50.33;4.53;4.59;5.17;13.42;15.71;12.20;33.29;11.07;15.17;19.62;28.00;24.33;12.87;14.58;2.17;5733;2.23;42.61;7.71;26.71;20.74;gauche;1
0413;2017;04;2251.60;8012;283;450;310;959;1034;832;2128;807;1012;1279;1817;1757;859;4062;6895;1116;144;118;1083;1255;1564;1615;50.70;4.16;6.61;4.56;14.10;15.20;12.23;31.28;11.86;15.05;19.02;27.02;26.13;12.78;16.19;2.49;5635;2.09;19.22;22.27;27.76;28.66;extreme_droite;1
0413;2022;04;2264.75;8018;258;439;294;929;1030;751;2233;823;958;1242;1819;1874;881;4036;7050;1464;113;98;1505;1495;365;2010;50.34;3.82;6.50;4.35;13.75;15.24;11.11;33.05;12.18;14.14;18.33;26.85;27.66;13.01;20.77;2.02;5473;1.79;27.50;27.32;6.67;36.73;extreme_droite;1
0414;2007;04;1361.92;11720;101;380;406;1361;1612;1473;2901;1559;1773;2296;2562;1867;1209;5692;8958;1044;127;484;2358;1389;2615;941;48.57;1.03;3.88;4.15;13.90;16.46;15.04;29.62;15.92;18.27;23.65;26.39;19.23;12.45;11.65;1.60;7787;6.22;30.28;17.84;33.58;12.08;droite;1
